Ticker,Company,Sector,# Employees
VLO,Valero Energy Corporation,Energy Minerals,"                9,964"
JNPR,"Juniper Networks, Inc.",Technology Services,"                9,950"
OGN,Organon & Co.,Health Technology,"                9,950"
DISCA,"Discovery, Inc. – Series A",Consumer Services,"                9,800"
DISCK,"Discovery, Inc. – Series C",Consumer Services,"                9,800"
PNR,Pentair plc.,Producer Manufacturing,"                9,750"
COP,ConocoPhillips,Energy Minerals,"                9,700"
ZION,Zions Bancorporation N.A.,Finance,"                9,678"
ATVI,"Activision Blizzard, Inc",Consumer Durables,"                9,500"
NFLX,"Netflix, Inc.",Technology Services,"                9,400"
WY,Weyerhaeuser Company,Finance,"                9,372"
CMS,CMS Energy Corporation,Utilities,"                9,345"
STZ,"Constellation Brands, Inc.",Consumer Non-Durables,"                9,300"
IDXX,"IDEXX Laboratories, Inc.",Health Technology,"                9,300"
ES,Eversource Energy (D/B/A),Utilities,"                9,299"
WST,"West Pharmaceutical Services, Inc.",Health Technology,"                9,200"
AEE,Ameren Corporation,Utilities,"                9,183"
REGN,"Regeneron Pharmaceuticals, Inc.",Health Technology,"                9,123"
BIIB,Biogen Inc.,Health Technology,"                9,100"
CTXS,"Citrix Systems, Inc.",Technology Services,"                9,000"
CLX,Clorox Company (The),Consumer Non-Durables,"                9,000"
FOX,Fox Corporation,Consumer Services,"                9,000"
FOXA,Fox Corporation,Consumer Services,"                9,000"
VRSK,"Verisk Analytics, Inc.",Technology Services,"                8,960"
ICE,Intercontinental Exchange Inc.,Finance,"                8,890"
CDNS,"Cadence Design Systems, Inc.",Technology Services,"                8,800"
ZBRA,Zebra Technologies Corporation,Electronic Technology,"                8,800"
MLM,"Martin Marietta Materials, Inc.",Non-Energy Minerals,"                8,700"
CPRT,"Copart, Inc.",Commercial Services,"                8,600"
IVZ,Invesco Ltd,Finance,"                8,512"
VMC,Vulcan Materials Company (Holding Company),Non-Energy Minerals,"                8,431"
FLT,"FleetCor Technologies, Inc.",Commercial Services,"                8,400"
QRVO,"Qorvo, Inc.",Electronic Technology,"                8,400"
AKAM,"Akamai Technologies, Inc.",Technology Services,"                8,368"
FTNT,"Fortinet, Inc.",Electronic Technology,"                8,238"
LYV,"Live Nation Entertainment, Inc.",Consumer Services,"                8,200"
AES,The AES Corporation,Utilities,"                8,200"
ISRG,"Intuitive Surgical, Inc.",Health Technology,"                8,081"
BIO,"Bio-Rad Laboratories, Inc.",Health Technology,"                8,000"
RMD,ResMed Inc.,Health Technology,"                7,970"
CMA,Comerica Incorporated,Finance,"                7,870"
ILMN,"Illumina, Inc.",Health Technology,"                7,800"
LW,"Lamb Weston Holdings, Inc.",Consumer Non-Durables,"                7,800"
TROW,"T. Rowe Price Group, Inc.",Finance,"                7,678"
CE,Celanese Corporation Celanese Corporation,Process Industries,"                7,658"
WRB,W.R. Berkley Corporation,Finance,"                7,495"
WAT,Waters Corporation,Health Technology,"                7,400"
NI,NiSource Inc,Utilities,"                7,389"
WEC,"WEC Energy Group, Inc.",Utilities,"                7,273"
MO,"Altria Group, Inc.",Consumer Non-Durables,"                7,100"
SJM,J.M. Smucker Company (The) New,Consumer Non-Durables,"                7,100"
IEX,IDEX Corporation,Producer Manufacturing,"                7,075"
AWK,"American Water Works Company, Inc.",Utilities,"                7,000"
HAS,"Hasbro, Inc.",Consumer Durables,"                6,822"
GNRC,Generac Holdlings Inc.,Producer Manufacturing,"                6,797"
JKHY,"Jack Henry & Associates, Inc.",Technology Services,"                6,714"
PTC,PTC Inc.,Technology Services,"                6,709"
HOLX,"Hologic, Inc.",Health Technology,"                6,705"
TTWO,"Take-Two Interactive Software, Inc.",Consumer Durables,"                6,495"
FFIV,"F5, Inc.",Electronic Technology,"                6,461"
DXCM,"DexCom, Inc.",Health Technology,"                6,400"
FMC,FMC Corporation,Process Industries,"                6,400"
NVR,"NVR, Inc.",Consumer Durables,"                6,100"
IPGP,IPG Photonics Corporation,Electronic Technology,"                6,060"
PBCT,People’s,Finance,"                5,987"
CDAY,Ceridian HCM Holding Inc.,Technology Services,"                5,974"
ALB,Albemarle Corporation,Process Industries,"                5,900"
AMT,American Tower Corporation (REIT),Finance,"                5,618"
TER,"Teradyne, Inc.",Electronic Technology,"                5,500"
TWTR,"Twitter, Inc.",Technology Services,"                5,500"
TYL,"Tyler Technologies, Inc.",Technology Services,"                5,500"
FRC,FIRST REPUBLIC BANK,Finance,"                5,483"
PSA,Public Storage,Finance,"                5,400"
CINF,Cincinnati Financial Corporation,Finance,"                5,266"
PHM,"PulteGroup, Inc.",Consumer Durables,"                5,249"
EVRG,"Evergy, Inc.",Utilities,"                5,133"
CHD,"Church & Dwight Company, Inc.",Consumer Non-Durables,"                5,100"
CCI,Crown Castle International Corp. (REIT),Finance,"                4,900"
XLNX,"Xilinx, Inc.",Electronic Technology,"                4,890"
NDAQ,"Nasdaq, Inc.",Finance,"                4,830"
ANSS,"ANSYS, Inc.",Technology Services,"                4,800"
WMB,"Williams Companies, Inc. (The)",Industrial Services,"                4,739"
BF.B,Brown Forman Inc,Consumer Non-Durables,"                4,700"
ATO,Atmos Energy Corporation,Utilities,"                4,684"
POOL,Pool Corporation,Distribution Services,"                4,500"
SIVB,SVB Financial Group,Finance,"                4,461"
CME,CME Group Inc.,Finance,"                4,370"
PAYC,"Paycom Software, Inc.",Technology Services,"                4,218"
NRG,"NRG Energy, Inc.",Utilities,"                4,104"
EXR,Extra Space Storage Inc,Finance,"                4,013"
MNST,Monster Beverage Corporation,Consumer Non-Durables,"                3,666"
MSCI,MSCI Inc,Technology Services,"                3,633"
VRTX,Vertex Pharmaceuticals Incorporated,Health Technology,"                3,400"
LNT,Alliant Energy Corporation,Utilities,"                3,375"
SPG,"Simon Property Group, Inc.",Finance,"                3,300"
GL,Globe Life Inc.,Finance,"                3,261"
SEDG,"SolarEdge Technologies, Inc.",Producer Manufacturing,"                3,174"
AVB,"AvalonBay Communities, Inc.",Finance,"                3,090"
CF,"CF Industries Holdings, Inc.",Process Industries,"                3,000"
EOG,"EOG Resources, Inc.",Energy Minerals,"                2,900"
VNO,Vornado Realty Trust,Finance,"                2,899"
OKE,"ONEOK, Inc.",Industrial Services,"                2,886"
DLR,"Digital Realty Trust, Inc.",Finance,"                2,878"
NLOK,NortonLifeLock Inc.,Technology Services,"                2,800"
ANET,"Arista Networks, Inc.",Electronic Technology,"                2,613"
